n,p,k,total_rounds,total_fireworks,min_round_time,avg_round_time,max_round_time,success
5,0.8,2,5,1,0.001445,0.003249,0.007817,True
10,0.8,2,5,0,0.002283,0.004563,0.009812,True
25,0.8,2,7,0,0.003496,0.009116,0.018307,True
50,0.8,2,9,4,0.004959,0.050764,0.116547,True
5,0.8,3,7,1,0.001099,0.002224,0.004846,True
10,0.8,3,8,1,0.002307,0.003984,0.010167,True
25,0.8,3,10,1,0.002929,0.011997,0.036187,True
50,0.8,3,9,2,0.004525,0.040189,0.137125,True
5,0.8,5,11,2,0.000979,0.001736,0.003686,True
10,0.8,5,17,1,0.001009,0.001558,0.00458,True
25,0.8,5,10,1,0.002183,0.006542,0.01911,True
50,0.8,5,12,0,0.005213,0.042582,0.133889,True
5,0.5,2,6,2,0.001422,0.002295,0.003598,True
10,0.5,2,4,2,0.002452,0.004429,0.006929,True
25,0.5,2,6,1,0.004521,0.01355,0.030542,True
50,0.5,2,9,1,0.00693,0.034448,0.120893,True
5,0.5,3,4,0,0.001312,0.003582,0.007745,True
10,0.5,3,7,1,0.002489,0.004319,0.009902,True
25,0.5,3,8,1,0.003779,0.010545,0.033505,True
50,0.5,3,10,1,0.00522,0.027241,0.072195,True
5,0.5,5,10,2,0.001032,0.00191,0.004713,True
10,0.5,5,12,2,0.00124,0.00285,0.012366,True
25,0.5,5,10,0,0.003735,0.009509,0.029127,True
50,0.5,5,11,1,0.005154,0.023445,0.097596,True
5,0.2,2,3,1,0.001864,0.003386,0.005362,True
10,0.2,2,6,1,0.002439,0.004331,0.008054,True
25,0.2,2,5,0,0.005537,0.0087,0.01378,True
50,0.2,2,6,1,0.006917,0.016215,0.031787,True
5,0.2,3,3,0,0.000994,0.001955,0.00299,True
10,0.2,3,5,0,0.002452,0.005044,0.012102,True
25,0.2,3,9,0,0.003087,0.00703,0.016699,True
50,0.2,3,8,1,0.005672,0.015444,0.040078,True
5,0.2,5,5,0,0.001027,0.001606,0.002638,True
10,0.2,5,12,0,0.001081,0.001536,0.003172,True
25,0.2,5,8,0,0.004195,0.005669,0.009602,True
50,0.2,5,14,1,0.004502,0.012547,0.040087,True
